Month-Year,China ($m),Japan ($m),South Korea ($m),United States of America ($m),
Apr-14,109.98,143.23,80.22,179.68,
May-14,82.64,154.09,87.79,206.02,
Jun-14,79.57,166.09,84.23,217.2,
Jul-14,87.61,170.53,89.18,253.59,
Aug-14,84.88,172.44,82.19,283.55,
Sep-14,91,169.91,81.08,318,
Oct-14,94.37,196.34,107.95,390.67,
Nov-14,102.88,201.85,119.65,398.76,
Dec-14,117.18,208.31,117.62,377.33,
Jan-15,53.08,124.66,72.82,229.09,
Feb-15,100.29,168.5,94.03,332.65,
Mar-15,119.87,205.04,115.96,398.23,
Apr-15,109.95,190.32,108.56,313.71,
May-15,124.22,183.67,129.87,380.78,
Jun-15,113.59,183.04,126.23,359.07,
Jul-15,108.24,192.1,137.75,353.13,
Aug-15,116.13,169.22,109.95,376.78,
Sep-15,106.45,200.42,114.51,341.98,
Oct-15,118.33,208.07,135.5,320.25,
Nov-15,131.28,186.26,126.41,273.43,
Dec-15,117.28,217,163.16,289.42,
Jan-16,47.66,103.26,75.69,188.28,
Feb-16,68.68,146.38,128.28,257.11,
Mar-16,91.85,189.72,135.7,270.87,
Apr-16,77.19,175.46,112.17,226.55,
May-16,85.51,189.49,134.74,268.31,
Jun-16,84.81,208.45,136.92,236.83,
Jul-16,79.56,199.66,117.67,191.9,
Aug-16,72.89,184.02,119.28,184.18,
Sep-16,81.67,189.16,136.75,165.23,
Oct-16,80.26,169.75,129.62,152.29,
Nov-16,88.31,219.57,170.2,200.08,
Dec-16,99.05,220.82,177.62,242.57,
Jan-17,77.08,101.18,85.83,158.51,
Feb-17,91.45,174.76,104.84,219.09,
Mar-17,111.3,220.87,114.32,230.66,
Apr-17,102.53,170.68,84.14,209.84,
May-17,102.59,224.34,113.27,245.76,
Jun-17,103.04,219.57,124.44,240.56,
Jul-17,106.93,236.14,132.26,249.12,
Aug-17,78.19,210.75,109.11,252.98,
Sep-17,102.68,200.25,133.31,226.24,
Oct-17,149.53,189.46,101.82,205.82,
Nov-17,154.65,191.61,117.25,218.59,
Dec-17,174.71,222.51,142.68,215.53,
Jan-18,95.4,118.49,78.92,164.08,
Feb-18,129.97,187.65,119.66,193.91,
Mar-18,136.52,221.03,129.19,226.51,
Apr-18,144.14,217.23,110.16,195.08,
May-18,181.56,263.74,139.67,239.79,
Jun-18,175.76,251.92,144.17,262.94,
Jul-18,179.06,245.53,151.62,248.36,
Aug-18,178.75,256.4,181.75,268.96,
Sep-18,191.41,195.79,150.44,235.55,
Oct-18,194.49,213.84,143.27,255.14,
Nov-18,201.12,245.11,163.93,207.6,
Dec-18,243.49,257.28,167.34,264.84,
Jan-19,148,141.02,93.25,184.53,
Feb-19,231.36,185.17,129.49,251.16,
Mar-19,273.94,257.3,164.55,300.96,
Apr-19,281.8,203.17,138.82,278.59,
May-19,273.48,260.12,155.38,256.21,
Jun-19,298.87,250.81,168.2,301.56,
Jul-19,312.69,265.83,158.38,266.58,
Aug-19,330.38,254.66,146.22,272.58,
Sep-19,381.08,251.71,135.17,260.74,
Oct-19,455.1,236.03,139.05,301.8,
Nov-19,515.03,244.75,153.27,323.63,
Dec-19,472.28,251.53,175.48,345.66,
Jan-20,285.37,167.55,116.5,219.23,
Feb-20,253.85,251.69,155.81,308.45,
Mar-20,266.03,291.01,154.48,315.56,
Apr-20,316.81,231.05,140.78,256,
May-20,324.77,257.54,169.94,241.37,
Jun-20,244.95,191.17,159.69,309.44,
Jul-20,158.46,183.12,140.75,290.68,
Aug-20,198.32,212.46,141,268.38,
Sep-20,171.67,193.94,112.99,191.95,
Oct-20,229.01,214.56,156.27,242.86,
Nov-20,235.49,215.66,167.13,222.66,
Dec-20,258.24,231.89,176.52,234.89,
Jan-21,147.54,118.03,100.7,127.87,
Feb-21,221.06,139.11,130.76,173.41,
Mar-21,247.37,202.42,166.21,228.64,
Apr-21,201.1,191.29,173.58,225.55,
May-21,253.89,216.95,161.4,257.28,
Jun-21,223.33,200.08,152.35,241.29,
Jul-21,238.51,220.05,176.43,328.53,
Aug-21,229.64,242.41,187.47,298.41,
Sep-21,249.07,222.59,168.16,312.49,
Oct-21,255.18,216.95,203.88,321.24,
Nov-21,293.11,240,257.42,255.63,
Dec-21,281.6,220.3,210.52,275.11,
Jan-22,174.53,121.42,146.47,220.7,
Feb-22,240.13,178.65,173.77,182.57,
Mar-22,205.77,252.09,193.4,298.22,
Apr-22,236.39,155.75,160.7,298.09,
May-22,269.97,296.21,204.32,258.43,
Jun-22,324.56,266.28,224.63,330.19,
Jul-22,244.18,240.41,246.91,278.43,
Aug-22,307.26,228.94,258.57,335.24,
Sep-22,300.7,175.07,199.57,278.69,
Oct-22,295.51,207.02,230.42,307.23,
Nov-22,264.89,217.61,178.91,255.44,
Dec-22,239.44,166.28,211.35,289.08,
Jan-23,181.87,143.67,136.14,180.1,
Feb-23,211.04,221.06,164.69,215.77,
Mar-23,351.32,217.12,243.68,306.04,
Apr-23,381.5,183.43,205.11,253.53,
May-23,343.82,198.18,198.39,277.21,
Jun-23,332.82,233.09,198.45,332.49,
Jul-23,279.21,200.29,219.39,401.71,
Aug-23,295.73,204.61,201.14,373.65,
Sep-23,305.87,186.48,192.66,377.54,
Oct-23,314.65,154.75,223.33,375.1,
Nov-23,280.79,186.69,229.92,413.3,
Dec-23,320.07,199.02,195.66,379.45,
Jan-24,203.27,157.6,135.89,318.59,
Feb-24,254.61,219.85,172.8,373.83,
Mar-24,268.9,219.29,218.84,446.85,
Apr-24,214.35,217.26,165.59,432.68,
,,,,,
"Source: Australian Bureau of Statistics, Insights into Australian Exports of Meat 6/06/2024",,,,,
,,,,,
